reference_joconde,titre_joconde,artiste,musee,numero_inventaire,numero_planche,etat,fichier,licence,credit,auteur_image,source,raisons
M0537043663,HISTOIRE DE LA BELLE ET LA BÊTE (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.2647 B,503,refusee,,,,,Wikimedia Commons,le musée conserve 6 notices de ce titre et de ce numéro (503) : l'exemplaire visé serait indéterminé
M0537006045,"MARIE, L'AMIE DES OISEAUX ET DES PAUVRES. (titre inscrit)",charles-eugene-ensfelder,musée de l'image,D 996.1.5919 B,522,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537017989,LA MAUVAISE SAISON. (titre inscrit),charles-eugene-ensfelder,musée de l'image,990.1.1478 B ; VI / 194,590,refusee,,,,,Wikimedia Commons,le musée conserve 5 notices de ce titre et de ce numéro (590) : l'exemplaire visé serait indéterminé
M0537004101,LA MAUVAISE SAISON. (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.3936 B,590,refusee,,,,,Wikimedia Commons,le musée conserve 5 notices de ce titre et de ce numéro (590) : l'exemplaire visé serait indéterminé
M0537006065,LES VACANCES DE LOUISE ET DE LUCIE. (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.5939 B,530,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537006109,FREDERIC ET EDOUARD / Ou le bon et le mauvais écoliers. (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.5983 B,547,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537017283,LES OCCUPATIONS DES PETITES FILLES (titre inscrit),charles-eugene-ensfelder,musée de l'image,990.1.719 B ; IV / 201,563,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537017776,HISTOIRE DE LA BELLE ET LA BETE. (titre inscrit),charles-eugene-ensfelder,musée de l'image,990.1.1405 B ; VI / 122,503,refusee,,,,,Wikimedia Commons,le musée conserve 6 notices de ce titre et de ce numéro (503) : l'exemplaire visé serait indéterminé
M0537027470,"GESCHIEDNIS VAN WILLIAM TELL (titre inscrit, néerl.) ; L’histoire de Guillaume Tell (titre factice)",charles-eugene-ensfelder,musée de l'image,990.1.2074 B ; VII / B 13,13,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537043832,LA VIE ET LES TRAVAUX DE LA CAMPAGNE / L'ÉTÉ et L'AUTOMNE (Suite) (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.2776 B,561,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (561) : l'exemplaire visé serait indéterminé
M0537006053,HISTOIRE D'UN ANE. (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.5927 B,526,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537022204,HISTOIRE DE ROBIN ET GENTIL  (titre inscrit),charles-eugene-ensfelder,musée de l'image,2005.17.78 B,546,refusee,,,,,Wikimedia Commons,le musée conserve 5 notices de ce titre et de ce numéro (546) : l'exemplaire visé serait indéterminé
M0537043665,HISTOIRE DE LA BELLE ET LA BÊTE (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.2649 B,503,refusee,,,,,Wikimedia Commons,le musée conserve 6 notices de ce titre et de ce numéro (503) : l'exemplaire visé serait indéterminé
M0537045391,LA MAUVAISE SAISON. N°. 590. (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.3608 B,590,refusee,,,,,Wikimedia Commons,le musée conserve 5 notices de ce titre et de ce numéro (590) : l'exemplaire visé serait indéterminé
M0537020025,LEGENDE DE SAINT ELOI (titre inscrit),charles-eugene-ensfelder,musée de l'image,990.1.66 B ; I / 66,631,exacte,"File:Imagerie d'Epinal. N°631, Légende de Saint Eloi - estampe - btv1b6938776q.jpg",Public domain,Bibliothèque nationale de France,,Wikimedia Commons,"titre retrouvé dans « Imagerie d'Epinal. N°631, Légende de Saint Eloi - estampe - btv1b6938776q.j » ; numéro de planche 631 des deux côtés"
M0537043662,HISTOIRE DE LA BELLE ET LA BÊTE (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.2646 B,503,refusee,,,,,Wikimedia Commons,le musée conserve 6 notices de ce titre et de ce numéro (503) : l'exemplaire visé serait indéterminé
M0537006051,LA PÊCHE MIRACULEUSE. (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.5925 B,525,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (525) : l'exemplaire visé serait indéterminé
M0537006058,LA VISITE A LÉONORE. N°.528. (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.5932 B,528,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (528) : l'exemplaire visé serait indéterminé
M0537006050,LA PÊCHE MIRACULEUSE. N°.525. (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.5924 B,525,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (525) : l'exemplaire visé serait indéterminé
M0537027534,"GESCHIEDENIS VAN RIK MET DE KUIF (titre inscrit, néerl.) ; histoire de Riquet à la Houppe (titre factice)",charles-eugene-ensfelder,musée de l'image,990.1.2140 B ; VII / B 79,79,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537027495,"DE KATER EN DE JONGE MUSSCHEN (titre inscrit, néerl.) ; le chat et les jeunes moineaux (titre factice)",charles-eugene-ensfelder,musée de l'image,990.1.2100 B ; VII / B 39,39,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537017306,LA VIE ET LES TRAVAUX DE LA CAMPAGNE / L’ETE et L’AUTOMNE (suite) (titre inscrit),charles-eugene-ensfelder,musée de l'image,990.1.717 B ; IV / 199,561,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (561) : l'exemplaire visé serait indéterminé
M0537006217,VIVE LE VÉLOCIPÈDE. / Nouveaux vélocipèdes dits de Société (brevet d'invention). (titre inscrit),charles-eugene-ensfelder,musée de l'image,D 996.1.6092 B,556,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537038087,L'ÉCOLE BUISSONNIÈRE. N°. 841. (titre inscrit),charles-eugene-ensfelder,musée de l'image,2010.5.3142 B,841,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537045360,"MARIE, L'ENFANT DE LA FÉE. N°. 575. (titre inscrit)",charles-eugene-ensfelder,musée de l'image,2010.5.3595 B,575,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537017512,Le Bon et le Mauvais Chemin (titre inscrit),charles-eugene-ensfelder,musée de l'image,990.1.1039 B ; V / 141,647,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537007970,PIRAME ET THISBE. N°.883. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.7867 B,883,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (883) : l'exemplaire visé serait indéterminé
M0537017582,PIRAME ET THISBE (titre inscrit),charles-francois-pinot,musée de l'image,990.1.1277 B ; VI / 2,6,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (6) : l'exemplaire visé serait indéterminé
M0537008156,ADOLESCENCE DE PAUL ET VIRGINIE. / N° 2. / N°.120. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.8056 B,2,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (2) : l'exemplaire visé serait indéterminé
M0537008158,HISTOIRE DE PAUL ET VIRGINIE. N°.23. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.8058 B,23,refusee,,,,,Wikimedia Commons,la feuille numérisée ne porte aucun numéro : rien ne dit lequel des deux exemplaires du musée elle montre (contrôle visuel)
M0537008157,ENFANCE DE PAUL ET VIRGINIE. / N°.119. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.8057 B,119,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537008136,PIRAME ET THISBE. N°.883. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.8036 B,883,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (883) : l'exemplaire visé serait indéterminé
M0537007968,PIRAME ET THISBE. N°6. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.7865 B,6,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (6) : l'exemplaire visé serait indéterminé
M0537007954,HISTOIRE DE PAUL ET VIRGINIE. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.7851 B,15,refusee,,,,,Wikimedia Commons,la feuille numérisée ne porte aucun numéro : rien ne dit lequel des deux exemplaires du musée elle montre (contrôle visuel)
M0537007749,ENFANCE DE PAUL ET VIRGINIE. / N°.1. / N°.119. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.7639 B,1,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537007952,ADOLESCENCE DE PAUL ET VIRGINIE. / N° 2. / N°.120. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.7849 B,2,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (2) : l'exemplaire visé serait indéterminé
M0537007969,PIRAME ET THISBÉ(titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.7866 B,6,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (6) : l'exemplaire visé serait indéterminé
M0537043941,N°. 31. / BATAILLE DE REICHOFFEN. (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.2885 B,31,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537038121,LE CHAT BOTTÉ. (CONTE DE FÉES.) 557 (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.5015 B,557,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537045961,NOEL. N°. 71. (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.4406 B,71,refusee,,,,,Wikimedia Commons,titre trop court ou trop commun pour être probant
M0537028803,BATAILLE DE REICHOFFEN. N°.958. (titre inscrit),charles-francois-pinot,musée de l'image,990.2.702 B ; W.105.4.2/6,958,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537052973,HISTOIRE D'ÉDOUARD dit le PETIT LOUVETEAU N°.434. (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.13507 B,434,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537003099,"Actualité, N°.10. / Voilà ce diable de MICMAK en train de nettoyer la Confédération Asthmatique... (titre inscrit)",charles-francois-pinot,musée de l'image,D 996.1.3010 B,10,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537003107,LE HULAN ET LA PAYSANNE. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.3020 B,,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537044376,ALPHABET MASCARADE. N°. 651. (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.6847 B,651,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537036438,LE PRINCE MIRLITON. (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.4740 B,447,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537005937,HISTOIRE D'EDOUARD DIT LE PETIT LOUVETEUAU N°.474. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.5811 A,474,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537036355,PRISE DE SAARBRUCK. N°. 28. (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.4722 B,28,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537004705,LE ROI DAGOBERT. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.4559 B,40,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (40) : l'exemplaire visé serait indéterminé
M0537004800,MONSIEUR ET MADAME DENIS. / Souvenirs de deux vieux époux. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.4656 B,62,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537017171,LE CHAT DE LA MÈRE MICHEL (titre inscrit),charles-francois-pinot,musée de l'image,990.1.583 B ; IV / 94,43,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (43) : l'exemplaire visé serait indéterminé
M0537046230,VIVE L'AMOUR ! VIVE LE VIN ! (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.6941 B,585,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537007991,LE CHEMIN DE FER. N°.624. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.7888 B,624,refusee,,,,,Wikimedia Commons,numéros de planche différents (624 contre 14)
M0537027468,"TIJL UILENSPIEGEL (titre inscrit, néerl.) ; Till l’espiègle. (titre factice)",charles-francois-pinot,musée de l'image,990.1.2072 B ; VII / B 11,11,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537027469,"DE GESCHIEDENIS VAN ROBINSON CRUSOE (titre inscrit, néerl.) ; L’histoire de Robinson Crusoé. (titre factice)",charles-francois-pinot,musée de l'image,990.1.2073 B ; VII / B 12,12,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537004715,LE CHAT DE LA MÈRE MICHEL. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.4569 B,43,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (43) : l'exemplaire visé serait indéterminé
M0537040563,"SCÈNES VILLAGEOISES ET TRAVAUX CHAMPÊTRES. / 540 (titre inscrit, fr., all.)",charles-francois-pinot,musée de l'image,2010.5.6555 B,540,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537040562,"SCÈNES VILLAGEOISES ET TRAVAUX CHAMPÊTRES. / 539 (titre inscrit, fr., all.)",charles-francois-pinot,musée de l'image,2010.5.6554 B,539,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537017872,"DE JAPANSCHE HOND (titre inscrit, néerl.) ; Le chien du Japon (titre factice)",charles-francois-pinot,musée de l'image,990.1.2166 B ; VII B 105,105,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537003096,"Actualité, N°.9. MELCHISEDECK. (titre inscrit)",charles-francois-pinot,musée de l'image,D 996.1.3007 B,9,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537017623,"LE MEUNIER, SON FILS ET L'ANE. (titre inscrit)",charles-francois-pinot,musée de l'image,990.1.1363 B ; VI / 83,441,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537006062,M. DUCROQUET EN CHEMIN DE FER. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.5936 B,529,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537018337,FABLES DE LA FONTAINE / LE CHEVAL ET LE LOUP / Le Renard et les Raisins / Le Loup et la Cigogne (titre inscrit),charles-francois-pinot,musée de l'image,990.1.1730 B ; VI / 441,925,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537027466,"DE GESCHIEDENIS VAN JACOB DE GOEDE ZOON (titre inscrit, néerl.) ; Histoire de Jacques, le bon fils. (titre factice)",charles-francois-pinot,musée de l'image,990.1.2069 B ; VII / B 8,8,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537027507,"Martha, de goede Kleine Huishoudster (titre inscrit, néerl.) ; Marthe la bonne petite ménagère. (titre factice)",charles-francois-pinot,musée de l'image,990.1.2113 B ; VII / B 52,52,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537007842,N.°11. / LE GRAND OGRE ALLEMAND. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.7733 B,11,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537017345,CADET ROUSSELLE. (titre inscrit),charles-francois-pinot,musée de l'image,990.1.797 B ; IV / 275,70,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (70) : l'exemplaire visé serait indéterminé
M0537025098,CADET ROUSSELLE (titre inscrit),charles-francois-pinot,musée de l'image,990.1.572.12 B ; IV / 72,70,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (70) : l'exemplaire visé serait indéterminé
M0537017272,LE ROI DAGOBERT (titre inscrit),charles-francois-pinot,musée de l'image,990.1.581 B ; IV / 93 1er ex,40,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (40) : l'exemplaire visé serait indéterminé
M0537017273,LE ROI DAGOBERT (titre inscrit),charles-francois-pinot,musée de l'image,990.1.582 B ; IV / 93 2e ex,40,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (40) : l'exemplaire visé serait indéterminé
M0537001788,"LES DEGRÉS DES AGES DE L'HOMME. (titre inscrit fr., all.)",charles-francois-pinot,musée de l'image,D 996.1.1701 B,,refusee,,,,,Wikimedia Commons,"la feuille numérisée est imprimée par Pellerin & Cie, la notice décrit un tirage de la Fabrique de Pellerin (contrôle visuel)"
M0537027560,"HOND EN KAT, OF DE SLECHTE BUREN (titre inscrit, néerl.) ; Chien et chat ou les mauvais voisins (titre factice)",charles-francois-pinot,musée de l'image,990.1.2167 B ; VII B 106,105,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537043716,CADET ROUSSELLE. (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.2692 B,518,refusee,,,,,Wikimedia Commons,"la feuille numérisée porte le numéro 384, et le musée en relève un autre (contrôle visuel)"
M0537045844,"Actualité. N°. 30. / Guillaume s'en va t'en guerre, mironton, ton, ton, mirontaine !!! (titre inscrit)",charles-francois-pinot,musée de l'image,2010.5.4289 B,30,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537053035,CADET ROUSSELLE. N°.261. (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.13569 B,261,refusee,,,,,Wikimedia Commons,"la feuille numérisée porte le numéro 384, et le musée en relève un autre (contrôle visuel)"
M0537017871,"GESCHIEDENIS VAN ALI-BABA EN DE 40 ROOVERS (titre inscrit, néerl.) ; L’histoire de Ali-Baba et les 40 voleurs (titre factice)",charles-francois-pinot,musée de l'image,990.1.2071 B ; VII / B 10,10,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537026208,MARTHE LA BONNE PETITE MENAGERE. (titre inscrit),charles-francois-pinot,musée de l'image,2008.21.106 B,521,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (521) : l'exemplaire visé serait indéterminé
M0537026207,MARTHE LA BONNE PETITE MENAGERE. (titre inscrit),charles-francois-pinot,musée de l'image,2008.21.105 B,521,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (521) : l'exemplaire visé serait indéterminé
M0537038128,"BETJE DE GOEDE HUISHOUDSTER. (titre inscrit, néerl.) ; MARTHE LA BONNE PETITE MENAGÈRE (titre traduit)",charles-francois-pinot,musée de l'image,2010.5.5036 A,,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537048453,LES COURSES DE LA MARCHE. N°.. 58 (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.9055 B,58,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537005994,LE CHEVAL ENCHANTÉ (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.5868 B,505,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537070838,HISTOIRE DE RIQUET A LA HOUPPE (titre inscrit),charles-francois-pinot,musée de l'image,2019.5.160 A,2705,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537070835,"Le lOUP, la Chèvre et les Biquets (titre inscrit)",charles-francois-pinot,musée de l'image,2019.5.158 A,2697,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537061445,NOUVEAU THÉÂTRE PORTATIF À RAINURES. / FOND DE FORÊT (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.21891 B,1554,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537061403,NOUVEAU THÉÂTRE PORTATIF À RAINURES. / PALAIS (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.21849 B,1544,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537017296,L'ECOLE DE VILLAGE (titre inscrit),charles-francois-pinot,musée de l'image,990.1.715 B ; IV / 197,514,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537004532,GUERNADIER / QUE TU M'AFFLIGES. N°.933. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.4385 B,933,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537045900,GUERNADIER / QUE TU M'AFFLIGES. / N°. 30. (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.4345 B,30,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537003196,GARIBALDI ET SES VOLONTAIRES / Combattant les Prussiens. N°.957. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.3108 B,957,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537004732,LE PRINCE MIRLITON. N°.511. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.4587 B,511,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537007855,AH VOUS DIRAI-JE MAMAN. N°.265. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.7746 B,265,refusee,,,,,Wikimedia Commons,"la feuille numérisée sort de chez Pellerin, la notice décrit une planche de Pinot & Sagaire (contrôle visuel)"
M0537007818,LE CHAT DE LA MÈRE MICHEL. N°.259. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.7709 B,259,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537026857,ÉPISODE DE LA BATAILLE DE SAINT-PRIVAT (près Metz) (titre inscrit),charles-francois-pinot,musée de l'image,990.1.943 B ; V / 56,139,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537028660,COMPÈRE GUILLERI. N° 275 (titre inscrit),charles-francois-pinot,musée de l'image,990.2.517 B ; W 105.3.1/93,275,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537017259,ALPHABET MASCARADE (titre inscrit),charles-francois-pinot,musée de l'image,990.1.516 B ; IV / 5,330,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537045889,LE CHAT DE LA MÈRE MICHEL. N°. 12. (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.4334 B,12,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537061818,Pantins : L'OGRE (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.22264 B,1339,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537053048,COMPÈRE GUILLERI. N°.932. (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.13583 B,932,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
