nom|notices_prudentes|musees|graphies|deja_retenu|exemple_reference|exemple_mention|statut|rattachement_ou_motif
FAIENCERIE DE SARREGUEMINES|51|1|1||05330004071|Faïencerie de Sarreguemines (manufacture, attribué à)|écarté|entité non personnelle
GREUZE JEAN-BAPTISTE|49|19|1|Greuze|000PE008279|GREUZE Jean-Baptiste (école)|retenu|Greuze
VACQUERIE AUGUSTE|48|1|1|Auguste Vacquerie|M5060000244|VACQUERIE Auguste (attribué à)|retenu|Auguste Vacquerie
MENZEL ADOLPH|47|1|1|Adolph Menzel|50350020367|MENZEL Adolph (école)|retenu|Adolph Menzel
VOUET SIMON|46|17|1|Simon Vouet|00000055635|VOUET Simon (attribué)|retenu|Simon Vouet
POUSSIN NICOLAS|46|8|1|Nicolas Poussin|000PE014608|POUSSIN Nicolas (attribué à)|retenu|Nicolas Poussin
VINCI LEONARDO DA|46|1|1|Léonard de Vinci|50350215673|VINCI Leonardo da (école)|retenu|Léonard de Vinci
MANUFACTURE DE CRISTAUX DU CREUSOT|46|1|1||M0170002672|Manufacture de cristaux du Creusot (?) (verrier)|écarté|entité non personnelle
BANDINELLI BACCIO|45|1|1|Baccio Bandinelli|50350003598|BANDINELLI Baccio (école)|retenu|Baccio Bandinelli
GEORGIN FRANCOIS|43|2|1|François Georgin|5002E001385|Georgin François (?, graveur)|retenu|François Georgin
MIGNARD PIERRE|43|16|1|Pierre Mignard|000PE005364|MIGNARD Pierre (école)|retenu|Pierre Mignard
TEMPESTA ANTONIO|43|5|1|Antonio Tempesta|50350002558|TEMPESTA Antonio (attribué à)|retenu|Antonio Tempesta
VERJAT LOUIS VICTOR EMILE|43|1|1|Louis Verjat|04240000586|Verjat Louis Victor Emile (1857-1933) (photographe, attribué à)|retenu|Louis Verjat
GIORDANO LUCA|42|19|1|Luca Giordano|000PE014035|GIORDANO Luca (attribué à)|retenu|Luca Giordano
HAWKE PETER|42|2|1|Peter Hawke|07450066079|HAWKE Peter (dessinateur, graveur, attribué à)|retenu|Peter Hawke
MELLET JACQUES PERE|41|1|1||00000062960|MELLET Jacques Père (?)|écarté|atelier de famille : les mêmes 41 notices nomment les trois Mellet, aucun prénom n'individualise
MELLET JULES FILS|41|1|1||00000062960|MELLET Jules Fils (?)|écarté|atelier de famille : les mêmes 41 notices nomment les trois Mellet, aucun prénom n'individualise
MELLET HENRI FILS|41|1|1||00000062960|MELLET Henri Fils (?)|écarté|atelier de famille : les mêmes 41 notices nomment les trois Mellet, aucun prénom n'individualise
RIGAUD HYACINTHE|41|19|1|Hyacinthe Rigaud|000PE002384|RIGAUD Hyacinthe (dit, attribué)|retenu|Hyacinthe Rigaud
PETER|41|1|1||00160008602|PETER (attribué à)|écarté|nom sans prénom : plusieurs Peter dans la base
GERICAULT THEODORE|40|14|1|Géricault|000PE001307|GERICAULT Théodore (attribué)|retenu|Géricault
ALLEAUME AUGUSTE|39|1|1|Auguste Alleaume|00000073155|ALLEAUME Auguste (attribué)|retenu|Auguste Alleaume
CAMPAGNOLA DOMENICO|39|4|1|Domenico Campagnola|00000107130|CAMPAGNOLA Domenico ( ? )|retenu|Domenico Campagnola
WILLERMET ANTOINE GABRIEL|39|1|1|Antoine Gabriel Willermet|50190040364|WILLERMET Antoine Gabriel (attribué à)|retenu|Antoine Gabriel Willermet
ROSA SALVATOR|38|9|1|Salvator Rosa|000PE022211|ROSA Salvator (attribué)|retenu|Salvator Rosa
BAROCCI FEDERICO|38|7|1|Federico Barocci|000PE024742|BAROCCI Federico (atelier)|retenu|Federico Barocci
ROBUSTI JACOPO|37|8|1|Le Tintoret|000PE014515|ROBUSTI Jacopo (attribué à)|retenu|Le Tintoret
MARATTI CARLO|37|3|1|Carlo Maratti|50350100624|MARATTI Carlo (atelier)|retenu|Carlo Maratti
ZUCCARO FEDERICO|37|4|1|Federico Zuccaro|50350202231|Zuccaro Federico (1540?-1609) (école)|retenu|Federico Zuccaro
PELLERIN|37|1|1||M0537000151|Pellerin (imprimeur, éditeur, attribué à)|écarté|raison sociale (imagerie d'Épinal), pas une personne
VERNET JOSEPH|35|14|1|Joseph Vernet|00000077065|VERNET Joseph (attribué)|retenu|Joseph Vernet
TURPIN DE CRISSE PERE|35|1|1||07480020189|TURPIN DE CRISSE Père (?, dessinateur)|écarté|désigné seulement comme « le père » ; 34 de ses 35 notices nomment le fils, retenu à son nom
CAMBIASO LUCA|34|6|1|Luca Cambiaso|00000068495|CAMBIASO Luca (attribué)|retenu|Luca Cambiaso
HUGO CHARLES|34|1|1|Charles Hugo|M5060000255|HUGO Charles (?)|retenu|Charles Hugo
TURPIN DE CRISSE LANCELOT THEODORE COMTE DE|34|1|1|Turpin de Crissé|07480020190|TURPIN DE CRISSE Lancelot Théodore Comte de (?, dessinateur)|retenu|Turpin de Crissé
CALDARA POLIDORO|33|2|1|Polidoro Caldara|000PE026960|CALDARA Polidoro (?)|retenu|Polidoro Caldara
LANCELOT GUSTAVE|32|1|1|Gustave Lancelot|00000082144|LANCELOT Gustave (attribué)|retenu|Gustave Lancelot
RY CHARLES DU|32|1|1|Charles du Ry|50350500474|RY Charles du (attribué à)|retenu|Charles du Ry
BUQUET|32|1|1||07250016042|BUQUET (atelier)|écarté|nom nu, mention « atelier » ; plusieurs Buquet dans la base
ROCHE ODILON|32|1|1|Odilon Roche|50440004255|ROCHE Odilon (?)|retenu|Odilon Roche
HOGENBERG FRANCOIS|32|2|1|Frans Hogenberg|50170003231|HOGENBERG François (graveur, école)|retenu|Frans Hogenberg
MOGHOLE DE MURSHIDABAD|32|1|1||07480036069|MOGHOLE DE MURSHIDABAD (école)|écarté|école régionale, pas une personne
VERONESE|31|5|1|Véronèse|000PE023078|VERONESE (dit, attribué)|retenu|Véronèse
ENSFELDER CHARLES EUGENE|31|1|1|Charles Eugène Ensfelder|M0537014578|Ensfelder Charles Eugène (1836-1876) (dessinateur, attribué à)|retenu|Charles Eugène Ensfelder
HOFFMANN NICOLAUS|30|1|1|Nicolaus Hoffmann|000DE025389|HOFFMANN Nicolaus (atelier)|retenu|Nicolaus Hoffmann
A|30|6|2||000PE007661|Attribué à|écarté|mention sans nom d'auteur
DUGHET GASPARD|30|11|1|Gaspard Dughet|000PE009666|DUGHET Gaspard (attribué)|retenu|Gaspard Dughet
CORNEILLE DE LYON|29|7|1|Corneille de Lyon|000PE000544|Corneille de Lyon (1500?-1575) (atelier)|retenu|Corneille de Lyon
FRAGONARD JEAN-HONORE|29|10|1|Fragonard|000PE001196|Fragonard Jean-Honoré (1732-1806) (attribué à)|retenu|Fragonard
BERNAERTS NICASIUS|29|3|1|Nicasius Bernaerts|000PE008737|BERNAERTS Nicasius (attribué)|retenu|Nicasius Bernaerts
VANNI FRANCESCO|29|5|1|Francesco Vanni|50350002752|VANNI Francesco (attribué à)|retenu|Francesco Vanni
PASSE CRISPIN I VAN DE|29|2|1|Crispin de Passe l'Ancien|02860008255|PASSE Crispin I Van de (?, graveur)|retenu|Crispin de Passe l'Ancien
CRAPELET AMABLE LOUIS|28|1|1|Amable Louis Crapelet|000DE011331|CRAPELET Amable Louis (attribué)|retenu|Amable Louis Crapelet
VARADY|28|1|1||00160008549|VARADY A (attribué à)|écarté|prénom réduit à une initiale (« VARADY A »)
BEURET AUGUSTE|28|1|1|Auguste Beuret|50440000375|BEURET Auguste (?)|retenu|Auguste Beuret
LELOY JEAN CHARLES FRANCOIS|28|1|1|Jean-Charles François Leloy|50190035668|LELOY Jean Charles François (auteur, ?)|retenu|Jean-Charles François Leloy
PASSE CRISPIN II VAN DE|28|1|1|Crispin de Passe le Jeune|02860008255|PASSE Crispin II Van de (?, graveur)|retenu|Crispin de Passe le Jeune
MANUFACTURE DE PONT-DES-VERNES|27|1|1||M0170004636|manufacture de Pont-des-Vernes (?)|écarté|entité non personnelle
HUSSENOT JOSEPH|27|1|1|Joseph Hussenot|M0537053602|Hussenot Joseph (1827-1896) (dessinateur, attribué à)|retenu|Joseph Hussenot
DAVID|26|17|1|Jacques-Louis David|00000082203|David (1748-1825) (attribué à)|retenu|Jacques-Louis David
CHAMPAIGNE PHILIPPE DE|26|11|1|Philippe de Champaigne|000PE000384|Champaigne Philippe de (1602-1674) (attribué à)|retenu|Philippe de Champaigne
LA HYRE LAURENT DE|26|4|1|Laurent de La Hyre|000PE013959|LA HYRE Laurent de (attribué à)|retenu|Laurent de La Hyre
VASARI GIORGIO|26|4|1|Giorgio Vasari|00000060663|VASARI GIORGIO (école)|retenu|Giorgio Vasari
POLLAIUOLO ANTONIO|26|1|1|Antonio del Pollaiuolo|50350215478|POLLAIUOLO Antonio (école)|retenu|Antonio del Pollaiuolo
PREVOST|26|1|1||5002P000235|Prévost (atelier)|écarté|nom nu, mention « atelier » ; plusieurs Prévost dans la base
HENNAULT HENRY|26|1|1|Henry Hennault|M0537001348|Hennault Henry (attribué à)|retenu|Henry Hennault
HENRIET ISRAEL|26|3|1|Israël Henriet|01720000218|HENRIET Israël (attribué à, graveur)|retenu|Israël Henriet
BURCKARDT CHARLES SUCCESSEURS|26|2|1||M0537073184|Burckardt Charles successeurs (actifs 1888-1906) (imprimeur, éditeur, attribué à)|écarté|entité non personnelle
ACKERMANN RENE|26|2|1|René Ackermann|M0537070475|Ackermann René (1853-1913) (imprimeur, éditeur, attribué à)|retenu|René Ackermann
HERTIG LOUIS|26|1|1|Louis Hertig|M0332050055|Hertig Louis (1880-1958) (entourage)|retenu|Louis Hertig
BOURDON SEBASTIEN|25|9|1|Sébastien Bourdon|000PE000238|BOURDON Sébastien (attribué)|retenu|Sébastien Bourdon
COLYN DE COTER|25|1|1|Colijn de Coter|50030009049|COLYN DE COTER (entourage)|retenu|Colijn de Coter
ARNAUD ANNE FRANCOIS|24|1|1||00000082275|ARNAUD Anne François (attribué)|à instruire|
RAPHAEL|24|7|1|Raphaël|000PE009022|Raphaël (1483-1520) (attribué à)|retenu|Raphaël
ALLEGRI ANTONIO|24|3|1|Le Corrège|000PE014737|ALLEGRI Antonio (attribué à)|retenu|Le Corrège
MOLA PIER FRANCESCO|24|10|1|Pier Francesco Mola|000PE026887|MOLA Pier Francesco (?)|retenu|Pier Francesco Mola
BERETTINI PIETRO|24|2|1||50350000997|BERETTINI Pietro (attribué à)|à instruire|
OUDRY JEAN-BAPTISTE|23|11|1|Jean-Baptiste Oudry|000DE021409|OUDRY Jean-Baptiste (attribué)|retenu|Jean-Baptiste Oudry
HUILLIOT CLAUDE|23|2|1||50130000144|HUILLIOT Claude (?)|à instruire|
BOILLY LOUIS LEOPOLD|22|14|1|Louis Léopold Boilly|00000082515|BOILLY Louis Léopold (attribué)|retenu|Louis Léopold Boilly
LARGILLIERE NICOLAS DE|22|14|1|Nicolas de Largillière|000PE001687|LARGILLIERE Nicolas de (atelier)|retenu|Nicolas de Largillière
LAMOTHE LOUIS|22|1|1||000DE012816|LAMOTHE Louis (attribué)|à instruire|
LE CORREGE|22|2|1|Le Corrège|00000060728|LE CORREGE (dit, école)|retenu|Le Corrège
BRIL PAUL|22|7|1|Paul Bril|00000062914|BRIL Paul (manière de)|retenu|Paul Bril
PETITOT JEAN LE VIEUX|22|1|1||50350214637|PETITOT Jean le Vieux (école)|à instruire|
KIRSTEIN JOACHIM-FRIEDRICH II|22|1|1||00130125056|KIRSTEIN Joachim-Friedrich II (attribué à, orfèvre, dessinateur)|à instruire|
GEROCK GUILLAUME|22|1|1||00130124442|GEROCK Guillaume (attribué à, orfèvre)|à instruire|
COUTON CLAUDIUS|21|1|1||00000104169|COUTON Claudius (?)|à instruire|
PALMA JACOPO IL GIOVANE|21|2|1||50350007599|PALMA Jacopo il Giovane (attribué à)|à instruire|
PICART BERNARD|21|1|1||50350209727|PICART Bernard (attribué à)|à instruire|
BELLANGE JACQUES DE|21|2|1||M0347000564|BELLANGE Jacques de (entourage de)|à instruire|
LORRAIN CLAUDE|20|5|1|Claude Lorrain|000PE001257|Lorrain Claude (1600-1682) (attribué à)|retenu|Claude Lorrain
RIGAU Y ROS HYACINTHE|20|6|1|Hyacinthe Rigaud|000PE002384|RIGAU Y ROS Hyacinthe (attribué)|retenu|Hyacinthe Rigaud
PUGET PIERRE|20|2|1||000DE007261|PUGET Pierre (attribué à)|à instruire|
MONNOYER JEAN-BAPTISTE|20|11|1||000PE006695|MONNOYER Jean-Baptiste (école)|à instruire|
CASTIGLIONE GIOVANNI BENEDETTO|20|7|1||000PE020342|Castiglione Giovanni Benedetto (1609-1664) (attribué à)|à instruire|
COURTOIS JACQUES|20|12|1||00000074447|COURTOIS Jacques (école)|à instruire|
RUPP HENRI|20|1|1||50410005455|Rupp Henri (1837-1918) (attribué)|à instruire|
VANNUCCI PIETRO|20|5|1|Le Pérugin|00000107026|VANNUCCI Pietro (atelier)|retenu|Le Pérugin
FRANCESCO DI SIMONE|20|1|1||50350003005|FRANCESCO DI SIMONE (attribué à)|à instruire|
DAILLAND E|20|1|1||5002P000262|Dailland E (?)|à instruire|
TESTA PIETRO|20|1|1||50350104511|TESTA Pietro (attribué à)|à instruire|
OUVRIE PIERRE JUSTIN|20|1|1||07480042184|OUVRIE Pierre Justin (?)|à instruire|
COLLIGNON FRANCOIS|20|1|1||06570019011|Collignon François (1610-1671) (graveur, ?)|à instruire|
DURER ALBRECHT|19|6|1|Albrecht Dürer|00000055631|DURER Albrecht (attribué)|retenu|Albrecht Dürer
DESPORTES FRANCOIS|19|10|1||000PE001004|Desportes François (1661-1743) (atelier)|à instruire|
ZIEM FELIX|19|3|1||000DE011344|ZIEM Félix (attribué)|à instruire|
DOLCI CARLO|19|5|1||00000094593|DOLCI Carlo (école)|à instruire|
CARDI LODOVICO|19|1|1||50350001437|CARDI Lodovico (attribué à)|à instruire|
ROMANELLI GIOVANNI FRANCESCO|19|4|1||50350101033|ROMANELLI Giovanni Francesco (attribué à)|à instruire|
ABATE NICOLO DELL|19|1|1||50350008278|ABATE Nicolo dell (attribué à)|à instruire|
FAIENCERIES DE CREIL & MONTEREAU|19|2|1||M0805000498|FAIENCERIES DE CREIL & MONTEREAU (attribué à, auteur du modèle, auteur du décor)|écarté|entité non personnelle
PELLERIN & CIE|19|1|1||M0537000739|Pellerin & Cie (imprimeur, éditeur, attribué à)|écarté|raison sociale (imagerie d'Épinal), pas une personne
LE SUEUR EUSTACHE|18|7|1||000PE001812|Le Sueur Eustache (1616-1655) (atelier)|à instruire|
DYCK ANTON VAN|18|10|1|Van Dyck|000PE008806|DYCK Anton Van (?)|retenu|Van Dyck
NOUAILHER COLIN|18|4|1||01370006941|NOUAILHER Colin (genre de)|à instruire|
MAINO ANGELO DEL|18|1|1||50350008871|MAINO Angelo del (attribué à)|à instruire|
GRIMALDI GIOVANNI FRANCESCO|18|4|1||50350005359|GRIMALDI Giovanni Francesco (attribué à)|à instruire|
FRA BARTOLOMEO|18|1|1||50350000283|FRA BARTOLOMEO (entourage)|à instruire|
ROSSO FIORENTINO|18|1|1||50350102157|ROSSO Fiorentino (école)|à instruire|
MARIETTE PIERRE II|18|1|1||05120011813|MARIETTE Pierre II (?, éditeur)|à instruire|
ARTHUR & GRENARD|18|1|1||00440001351|ARTHUR & GRENARD (attribué à, manufacture)|à instruire|
OSTADE ADRIAEN VAN|17|7|1||000DE021411|OSTADE Adriaen Van (école)|à instruire|
RIBERA JUSEPE DE|17|12|1|Ribera|000PE026599|RIBERA Jusepe de (école)|retenu|Ribera
PASSAROTTI BARTOLOMEO|17|5|1||00000077336|PASSAROTTI Bartolomeo (atelier)|à instruire|
GOUJON JEAN|17|3|1||000SC002067|Goujon Jean (1510?-1567?) (atelier)|à instruire|
LE PERUGIN|17|4|1|Le Pérugin|00000107026|LE PERUGIN (dit, atelier)|retenu|Le Pérugin
SILVESTRE ISRAEL|17|4|1||50350210477|SILVESTRE Israël (attribué à)|à instruire|
KIRSTEIN JACOB-FRIEDRICH|17|1|1||00130151806|KIRSTEIN Jacob-Friedrich (dessinateur, orfèvre, attribué à)|à instruire|
NATOIRE CHARLES|16|6|1||000DE021416|Natoire Charles (1700-1777) (attribué à)|à instruire|
GUARDI FRANCESCO|16|10|1||00000068501|GUARDI Francesco (attribué)|à instruire|
GAUSSEN ALFRED|16|1|1||00000082189|GAUSSEN Alfred (attribué)|à instruire|
LESCOT|16|7|1||000PE001430|LESCOT (dite, ?)|à instruire|
PRUD'HON PIERRE PAUL|16|9|1||000DE007297|PRUD'HON Pierre Paul (attribué à)|à instruire|
CONSTANTIN JEAN ANTOINE|16|1|1||000DE006996|CONSTANTIN Jean Antoine (atelier)|à instruire|
FRANCKEN FRANS II|16|9|1||000PE003345|FRANCKEN Frans II (atelier)|à instruire|
DELACROIX EUGENE|16|7|1||000DE007075|DELACROIX Eugène (atelier)|à instruire|
ZAMPIERI DOMENICO|16|6|1||000PE006532|ZAMPIERI Domenico (attribué)|à instruire|
WOUWERMAN PHILIPS|16|10|1||000PE016894|WOUWERMAN Philips (attribué)|à instruire|
TIEPOLO GIOVANNI BATTISTA|16|2|1||50350007816|TIEPOLO Giovanni Battista (attribué à)|à instruire|
FLORIS FRANS I|16|2|1||50350110842|FLORIS Frans I (manière de)|à instruire|
RICCIO FELICE DEL|16|1|1||50350103833|RICCIO Felice del (attribué à)|à instruire|
ENSFELDER EUGENE|16|1|1|Charles Eugène Ensfelder|M0537000075|Ensfelder Eugène (1836-1876) (attribué à)|retenu|Charles Eugène Ensfelder
VILLOT FREDERIC|16|1|1||50350217561|VILLOT Frédéric (attribué à)|à instruire|
MARIETTE PIERRE IER|16|1|1||05120011813|MARIETTE Pierre Ier (?, éditeur)|à instruire|
HUMBERT JULES EUGENE|16|1|1||50190041947|HUMBERT Jules Eugène (?)|à instruire|
CHAUFFOUR ALFRED|16|1|1||M0537051276|Chauffour Alfred (dessinateur, attribué à)|à instruire|
PHOSTY EDOUARD|16|1|1||M0537019952|Phosty Edouard (1838-1910) (dessinateur, attribué à)|à instruire|
ROBERT HUBERT|15|12|1||00000077063|ROBERT Hubert (attribué)|à instruire|
CLOUET JEAN|15|3|1||000PE000520|Clouet Jean (148?-1540) (atelier)|à instruire|
GOBERT PIERRE|15|4|1||000PE005321|GOBERT Pierre (attribué)|à instruire|
SNYDERS FRANS|15|9|1||000PE008832|SNYDERS Frans (atelier)|à instruire|
BOTTICELLI SANDRO|15|5|1|Botticelli|000PE012507|BOTTICELLI Sandro (dit, école)|retenu|Botticelli
VAN LOO CARLE|15|7|1||000PE016254|VAN LOO Carle (dit, école)|à instruire|
CALLOT JACQUES|15|6|1||50160000090|CALLOT Jacques (attribué)|à instruire|
LAGRENEE JEAN JACQUES|15|5|1||50350043135|Lagrenée Jean Jacques (1739-1821) (attribué à)|à instruire|
BRIL MATTHIJS LE JEUNE|15|1|1||50350105549|BRIL Matthijs le Jeune (attribué à)|à instruire|
DYCK ANTOON VAN|15|2|1|Van Dyck|50350106904|DYCK Antoon van (école)|retenu|Van Dyck
A)|15|7|1||10500002093|attribué à)|écarté|mention sans nom d'auteur
SCHERER LEONCE|15|1|1||M0537000010|Schérer Léonce (1827-1876) (dessinateur, attribué à)|à instruire|
MANUFACTURE DES ISLETTES|15|4|1||M0805001160|manufacture des Islettes (attribué à) (auteur du modèle, auteur du décor)|écarté|entité non personnelle
AUDRAN CLAUDE II|15|1|1||M0332004195|AUDRAN Claude II (attribué à) (dessinateur)|à instruire|
GRANDE TUILERIE DE BOURGOGNE|15|1|1||M0170002250|Grande Tuilerie de Bourgogne (fabricant) (?)|à instruire|
MURILLO BARTOLOME ESTEBAN|14|10|1||00000077093|Murillo Bartolomé Esteban (1618-1682) (attribué)|à instruire|
GIRODET DE ROUCY-TRIOSON ANNE LOUIS|14|9|1||000PE001325|GIRODET DE ROUCY-TRIOSON Anne Louis (attribué)|à instruire|
BRUEGHEL JAN I|14|4|1||000PE003287|BRUEGHEL Jan I (école)|à instruire|
LANFRANCO GIOVANNI|14|4|1||000DE011847|LANFRANCO Giovanni (attribué)|à instruire|
BONINGTON RICHARD PARKES|14|9|1||000PE020731|BONINGTON Richard Parkes (attribué)|à instruire|
DEMARNE JEAN-LOUIS|14|10|1||000PE030842|Demarne Jean-Louis (1744?-1829) (attribué à)|à instruire|
BERCHEM NICOLAES PIETERSZ|14|6|1||00650003001|BERCHEM Nicolaes Pietersz (?,école)|à instruire|
LACOUR PIERRE FILS|14|1|1||00650011374|LACOUR Pierre Fils (attribué)|à instruire|
MUZIANO GIROLAMO|14|1|1||50350007452|MUZIANO Girolamo (attribué à)|à instruire|
SCHONGAUER MARTIN|14|3|1||50350108782|SCHONGAUER Martin (école)|à instruire|
CARPI GIROLAMO DA|14|1|1||50350007297|CARPI Girolamo da (attribué à)|à instruire|
PERUZZI BALDASSARRE TOMMASO|14|1|1||50350002049|PERUZZI Baldassarre Tommaso (attribué à)|à instruire|
DUPLESSIS JEAN-CLAUDE|14|1|1||50190031333|DUPLESSIS Jean-Claude (atelier)|à instruire|
BRONGNIART ALEXANDRE THEODORE|14|1|1||50190032108|BRONGNIART Alexandre Théodore (?)|à instruire|
LIPPI FILIPPINO|13|2|1||00000068504|LIPPI Filippino (?)|à instruire|
FAYARD AUGUSTE|13|1|1||00000070473|FAYARD Auguste (attribué)|à instruire|
PARROCEL CHARLES|13|6|1||000PE002137|Parrocel Charles (1688-1752) (attribué à)|à instruire|
STELLA JACQUES|13|7|1||000PE009749|STELLA Jacques (attribué)|à instruire|
FILIPEPI ALESSANDRO MARIANO|13|3|1|Botticelli|000PE012507|FILIPEPI Alessandro Mariano (école)|retenu|Botticelli
BROUWER ADRIAEN|13|11|1||000PE016131|BROUWER Adriaen (attribué)|à instruire|
LAIRESSE GERARD DE|13|4|1||00000062827|LAIRESSE Gérard de (manière de)|à instruire|
CARRACCI AGOSTINO|13|4|1||50350004019|CARRACCI Agostino (attribué à)|à instruire|
MEYNIER CHARLES|13|3|1||50350015252|MEYNIER Charles (attribué à)|à instruire|
CORNEILLE MICHEL-ANGE|13|1|1||50350011799|Corneille Michel-Ange (1642-1708) (attribué à)|à instruire|
SALIMBENI VENTURA|13|1|1||50350002278|SALIMBENI Ventura (attribué à)|à instruire|
LAURENT PAUL|13|1|1||10230000729|LAURENT Paul (fabricant, attribué à)|à instruire|
CRANACH LUCAS LE JEUNE|13|1|1||03110000271|CRANACH Lucas le Jeune (attribué à)|à instruire|
VAN DYCK ANTON|12|10|1|Van Dyck|000PE003328|VAN DYCK Anton (école)|retenu|Van Dyck
COYPEL NOEL|12|5|1||000PE009010|COYPEL Noël (école)|à instruire|
ROSA SALVATORE|12|6|1|Salvator Rosa|000PE014505|ROSA Salvatore (école)|retenu|Salvator Rosa
