strate,reference,lien_pop,type_passage_predit,ancienne_attribution_brut,auteur_actuel_brut,ancien_nom_extrait,anciens_noms_reconnus,annee_revision,titre,musee,ville,verdict,commentaire
passage : vers une attribution prudente,50350107776,https://pop.culture.gouv.fr/notice/joconde/50350107776,Vers une attribution prudente,ancienne attribution : Rembrandt Harmensz van Rijn,Rembrandt (1606-1669) (manière de),Rembrandt Harmensz van Rijn,rembrandt,,"Joseph en prison, expliquant les songes du grand panetier et de l'échanson",musée du Louvre,Paris,OK,"Même grand nom, mais passage vers 'manière de' ; très bon cas pour la rubrique."
passage : vers l'anonyme,50350205951,https://pop.culture.gouv.fr/notice/joconde/50350205951,Vers l'anonyme,ancienne attribution Anonyme espagnol,anonyme,,,,Portrait d'un couple,musée du Louvre,Paris,à exclure,Ancien libellé anonyme espagnol → anonyme : changement trop faible pour la galerie.
passage : vers l'anonyme,50350028377,https://pop.culture.gouv.fr/notice/joconde/50350028377,Vers l'anonyme,ancienne attribution : LEPRINCE Auguste Xavier,anonyme,LEPRINCE Auguste Xavier,,,"Femme nue, debout, les mains jointes par-dessus sa tête",musée du Louvre,Paris,OK,Ancien nom extrait correctement ; passage vers l'anonyme lisible.
passage : vers l'anonyme,50350028420,https://pop.culture.gouv.fr/notice/joconde/50350028420,Vers l'anonyme,ancienne attribution : LEPRINCE Auguste Xavier,anonyme,LEPRINCE Auguste Xavier,,,"Femme debout, de face, nouant sa tunique",musée du Louvre,Paris,OK,Ancien nom extrait correctement ; passage vers l'anonyme lisible.
passage : vers l'anonyme,50350106057,https://pop.culture.gouv.fr/notice/joconde/50350106057,Vers l'anonyme,ancienne attribution : ANONYME FLAMAND début XVIIe s,anonyme,,,,Etude d'arbres et de broussailles,musée du Louvre,Paris,à exclure,Ancien libellé anonyme flamand → anonyme : changement trop faible pour la galerie.
passage : vers l'anonyme,50350124653,https://pop.culture.gouv.fr/notice/joconde/50350124653,Vers l'anonyme,ancienne attribution : DONZEL Charles,anonyme,DONZEL Charles,,,"Tête de cheval, tournée vers la gauche",musée du Louvre,Paris,OK,Ancien nom extrait correctement ; passage vers l'anonyme lisible.
passage : vers l'anonyme,50350028436,https://pop.culture.gouv.fr/notice/joconde/50350028436,Vers l'anonyme,ancienne attribution : LEPRINCE Auguste Xavier,anonyme,LEPRINCE Auguste Xavier,,,Jeune fille assise sur une pierre,musée du Louvre,Paris,OK,Ancien nom extrait correctement ; passage vers l'anonyme lisible.
passage : vers l'anonyme,50350102630,https://pop.culture.gouv.fr/notice/joconde/50350102630,Vers l'anonyme,attribué à : LEGNANI Stefano Maria,anonyme,LEGNANI Stefano Maria,,,"Femme et enfant assis sous un arbre, dans un bois",musée du Louvre,Paris,OK,"Ancienne attribution déjà prudente, mais passage vers l'anonyme compréhensible."
passage : vers l'anonyme,6190023744,https://pop.culture.gouv.fr/notice/joconde/06190023744,Vers l'anonyme,"ancienne attribution : Santi Di Tito (16e siècle (2e moitié), Italie)",anonyme,"Santi Di Tito , Italie)",,,Portrait de Lorenzino de Médicis,musée de la Chartreuse,Douai,faux parsing,"Type de passage correct, mais ancien nom extrait à nettoyer : devrait être 'Santi Di Tito'."
passage : vers une copie,10500004008,https://pop.culture.gouv.fr/notice/joconde/10500004008,Vers une copie,Ancienne attribution : ECOLE FLAMANDE,anonyme;GIORDANO Luca (d'après),,,,Suzanne et les vieillards,musée des beaux-arts,Chambéry,OK,Ancien libellé école flamande → copie/d'après ; cas exploitable si verbatim affiché.
passage : vers une copie,50350201196,https://pop.culture.gouv.fr/notice/joconde/50350201196,Vers une copie,ancienne attribution : ANONYME ITALIEN XVIe s,anonyme;SACCHIENSE Giovanni Antonio (d'après),,,,Amours portant des banderolles sur un trépied surmonté de chevaux,musée du Louvre,Paris,OK,Ancien anonyme italien → copie/d'après ; cas lisible.
passage : vers une copie,50350108989,https://pop.culture.gouv.fr/notice/joconde/50350108989,Vers une copie,ancienne attribution : ANONYME ALLEMAND XVIe s,DURER Albrecht (d'après);anonyme,,,,Un porte-enseigne,musée du Louvre,Paris,OK,Ancien anonyme allemand → Dürer d'après ; cas lisible.
passage : vers une copie,50350002157,https://pop.culture.gouv.fr/notice/joconde/50350002157,Vers une copie,ancienne attribution : BUONARROTI Michelangelo,RICCIARELLI DA VOLTERRA Daniele (d'après);anonyme,BUONARROTI Michelangelo,michel-ange,,"Viellard drapé, tenant un livre ouvert : un prophète ?",musée du Louvre,Paris,OK,Ancien Michel-Ange → d'après Ricciarelli ; bon cas public.
passage : vers une copie,69004,https://pop.culture.gouv.fr/notice/joconde/00000069004,Vers une copie,PIETRO DELLA VECCHIA (CAT. 1938),"anonyme;MUTTONI Pietro (d'après);VECCHIA Pietro della (dit, d'après)",PIETRO DELLA VECCHIA,,1938,Une rixe,musée national Magnin,Dijon,OK,Passage vers d'après/copie ; année de catalogue exploitable.
passage : vers une copie,50350002648,https://pop.culture.gouv.fr/notice/joconde/50350002648,Vers une copie,ancienne attribution : TESTA Pietro,anonyme;TESTA Pietro (d'après),TESTA Pietro,,,Martyre de saint Erasme,musée du Louvre,Paris,OK,Même nom actuel en d'après ; passage vers copie lisible.
passage : vers une copie,50110001686,https://pop.culture.gouv.fr/notice/joconde/50110001686,Vers une copie,Changement d'attribution,"OMMEGANCK Balthasar Paul (peintre, d'après)",Changement d'attribution,,,"Vaches, moutons, chèvres et chevaux au pâturage",musée national Magnin,Dijon,faux parsing,Ancien nom non extrait : 'Changement d'attribution' n'est pas un nom affichable.
passage : vers une copie,50350108091,https://pop.culture.gouv.fr/notice/joconde/50350108091,Vers une copie,ancienne attribution : ANONYME HOLLANDAIS XVIe s,SWART VAN GRONINGEN Jan (d'après);anonyme,,,,La huitième plaie d'Egypte,musée du Louvre,Paris,OK,Ancien anonyme hollandais → d'après Swart ; cas lisible.
piège : chaîne d'attributions (≥2 segments),000PE027053,https://pop.culture.gouv.fr/notice/joconde/000PE027053,Vers un autre nom,"SEBASTIANO DEL PIOMBO, ?, D'APRES (DUSSLER) ; SALVIATI CECCHINO (PALLUCCHINI) ; SALVIATI CECCHINO, ? (LUCO) ; SEBASTIANO DEL PIOMBO, ATTRIBUE (HAUTECOEUR)",anonyme;Sebastiano del PIOMBO (dit);LUCIANI Sebastiano (d'après),,,,PORTRAIT DE FEMME AVEC LES ATTRIBUTS DE SAINTE CATHERINE,musée du Louvre,Paris,faux passage,Chaîne contradictoire et attribution actuelle avec d'après ; impossible à résumer en simple passage vers un autre nom.
piège : chaîne d'attributions (≥2 segments),50350108683,https://pop.culture.gouv.fr/notice/joconde/50350108683,Vers un autre nom,"Genre de, HOLLAR Wenzel ; PATINIR Joachim",COCK Lucas Cornelisz de,"Genre de, HOLLAR Wenzel",,,Baie avec des îlots rocheux,musée du Louvre,Paris,faux parsing,"Type général plausible, mais ancien nom extrait inclut 'Genre de' et ignore l'autre segment Patinir."
piège : chaîne d'attributions (≥2 segments),50350107136,https://pop.culture.gouv.fr/notice/joconde/50350107136,Vers un autre nom,anciennes attributions : ANONYME FLAMAND OU HOLLANDAIS fin XVIe s ; SCHIAVONE Andrea,MONT Jan de,,,,"Femme couchée embrassant un enfant, et jeune fille",musée du Louvre,Paris,faux parsing,"Passage général plausible, mais ancien nom non extrait alors que Schiavone apparaît dans la chaîne."
piège : chaîne d'attributions (≥2 segments),000PE012734,https://pop.culture.gouv.fr/notice/joconde/000PE012734,Vers l'anonyme,"GIOTTO, ECOLE DE (CAMPANA, CORNU) ; ECOLE FLORENTINE 14E SIECLE (REISET) ; BARTOLO TADDEO DI, ECOLE DE (GNOLI)",anonyme,"GIOTTO, ECOLE DE",,,LA VIERGE ET L'ENFANT COURONNES PAR DEUX ANGES ENTRE SAINT JEAN BAPTISTE ET SAINT FRANCOIS,musée du Petit Palais,Avignon,à exclure,"Passage vers anonyme compréhensible, mais chaîne d'écoles trop composite pour la galerie V1."
piège : chaîne d'attributions (≥2 segments),000PE016062,https://pop.culture.gouv.fr/notice/joconde/000PE016062,Vers l'anonyme,(PIERRE DE CORTONE (ancienne attribution) ; PUGET PIERRE (ROSSI),anonyme,,,,SALOMON SACRIFIANT AUX IDOLES,musée des beaux-arts,Marseille,faux parsing,"Passage vers anonyme plausible, mais ancien nom non extrait dans une chaîne Pierre de Cortone / Puget."
piège : chaîne d'attributions (≥2 segments),000PE027372,https://pop.culture.gouv.fr/notice/joconde/000PE027372,Vers un autre nom,"BAGNACAVALLO (VILLOT I, RICCI) ; GIULO ROMANO (HAUTECOEUR)",VINCIDOR Tommaso di Andrea;TOMMASO DA BOLOGNA (dit),BAGNACAVALLO,,,LA CIRCONCISION,musée du Louvre,Paris,à exclure,Plusieurs anciens noms ; l'extraction d'un seul segment rendrait le cas trompeur en avant/après.
piège : chaîne d'attributions (≥2 segments),50110001364,https://pop.culture.gouv.fr/notice/joconde/50110001364,Vers un autre nom,"Changement d'attribution ; Dessin réattribué par Antoine Schnapper. Il a probablement été exécuté avant 1694 puisqu'à partir de cette date, pour des raisons financières, seuls les recteurs utilisent des doubles académies. J.B. Jouvenet n'était que professeur. Ce dessin est à mettre en rapport avec une sanguine sur papier beige, conservée dans une collection particulière à Paris (repr. dans A. Schnapper, 1974, fig. 197).",JOUVENET Jean-Baptiste,Changement d'attribution,,,Double académie ; Ancien titre : Les Lutteurs,musée national Magnin,Dijon,faux parsing,Le champ est une note de réattribution ; 'Changement d'attribution' n'est pas un ancien nom affichable.
piège : chaîne d'attributions (≥2 segments),190028338,https://pop.culture.gouv.fr/notice/joconde/00190028338,Vers un autre nom,"anciennement attribué à Midden-Beemster, (1622 - Delft, 1654) ; L'oeuvre reviendrait vraisemblablement à un anonyme allemand du 18e",Fabritius Carel;anonyme,Midden-Beemster,,,Paysage nocturne avec la fuite en Egypte ; Paysage avec personnages,musée des Beaux-Arts,Strasbourg,faux parsing,"Ancien nom extrait incorrect : Midden-Beemster est un lieu, pas un nom d'artiste exploitable."
piège : chaîne d'attributions (≥2 segments),50350003497,https://pop.culture.gouv.fr/notice/joconde/50350003497,Vers un autre nom,Ecole de ; ancienne attribution : VINCI Leonardo da ; PISANELLO Antonio,JACOPO DA BOLOGNA,,vinci,,"Quatre Orientaux enturbannés, en buste ; esquisse d'un homme de profil",musée du Louvre,Paris,faux parsing,Ancienne chaîne Vinci / Pisanello ; nom reconnu mais ancien nom affichable non extrait.
piège : chaîne d'attributions (≥2 segments),130004257,https://pop.culture.gouv.fr/notice/joconde/00130004257,Vers un autre nom,"Ancienne attribution : ALDEGREVER Heinrich, 16e siècle, Virgil Solis a dessiné des musiciens assez proches ; Ancienne attribution : BEHAM Hans Sebald",BEHAM Hans Sebald (graveur),,,,Quatre lansquenets,cabinet des estampes et des dessins,Strasbourg,faux passage,Le nom actuel Beham figure déjà dans la chaîne d'anciennes attributions ; pas de passage simple.
piège : école nationale en ancien nom,000PE026953,https://pop.culture.gouv.fr/notice/joconde/000PE026953,Vers un autre nom,ECOLE FLORENTINE 14E SIECLE (INVENTAIRE),PIETRO DA RIMINI,,,,LA DEPOSITION DE CROIX,musée du Louvre,Paris,OK,Ancien libellé d'école nationale → nom d'artiste actuel ; exploitable si le verbatim 'école florentine' est affiché.
piège : école nationale en ancien nom,M0332005889,https://pop.culture.gouv.fr/notice/joconde/M0332005889,Vers l'anonyme,Ecole allemande ; Domenico Panetti,anonyme,,,,Chevalier et sa Dame,musée des beaux-arts et d'archéologie,Besançon,à exclure,"Chaîne école allemande + Domenico Panetti → anonyme ; trop composite pour une carte simple, à conserver comme cas complexe/stat."
piège : école nationale en ancien nom,000PE031131,https://pop.culture.gouv.fr/notice/joconde/000PE031131,Vers l'anonyme,"ECOLE FLAMANDE XVIII SIECLE, SNAYERS P., ECOLE DE (MICHEL)",anonyme,,,,ATTAQUE D'UN CONVOI,musée de Brou,Bourg-en-Bresse,à exclure,"Ancienne chaîne école flamande + école de Snayers ; trop composite pour la galerie V1, mais utile dans stats/méthode."
piège : école nationale en ancien nom,000PE008898,https://pop.culture.gouv.fr/notice/joconde/000PE008898,Vers un autre nom,ECOLE FLAMANDE 17E SIECLE (DEMONTS),UTRECHT Adriaen Van,,,,NATURE MORTE : FRUITS ET LEGUMES,musée du Louvre,Paris,OK,Ancien libellé école flamande → nom d'artiste actuel ; cas lisible avec verbatim.
piège : école nationale en ancien nom,000PE015595,https://pop.culture.gouv.fr/notice/joconde/000PE015595,Vers un autre nom,ECOLE DES MARCHES (VAN MARLE),GIOVANNI PAGANI DA MONTERUBBIANO,,,,LA VIERGE DU SECOURS,musée du Petit Palais,Avignon,OK,Ancien libellé d'école régionale → nom d'artiste actuel ; exploitable avec verbatim.
piège : école nationale en ancien nom,000PE022910,https://pop.culture.gouv.fr/notice/joconde/000PE022910,Vers une attribution prudente,ECOLE ESPAGNOLE (CAT SAUVAGEOT),SANCHEZ COELLO Alonso (attribué),,,,Portrait de femme,musée du Louvre,Paris,OK,Ancien libellé école espagnole → attribution actuelle prudente ; cas lisible.
piège : école nationale en ancien nom,5013M000358,https://pop.culture.gouv.fr/notice/joconde/5013M000358,Vers une attribution prudente,Ecole de Fontainebleau (ancienne attribution) ; Primatice (ancienne attribution),MASSYS Jan (attribué),,,,Vénus et Psyché ; Jeunes femmes présentant des fleurs (ancien titre),musée national du château de Fontainebleau,Fontainebleau,à exclure,"Deux anciens segments Fontainebleau + Primatice ; trop composite pour la galerie V1, à conserver comme chaîne/cas complexe."
piège : école nationale en ancien nom,50350009215,https://pop.culture.gouv.fr/notice/joconde/50350009215,Vers un autre nom,"Ecole de, MAZZUOLA Francesco",MAZZUOLA Francesco,,,,"Femme debout, tournée vers la droite",musée du Louvre,Paris,faux passage,Ancien et actuel renvoient au même nom Mazzuola ; plutôt disparition de la mention 'école de' qu'un passage vers un autre nom.
piège : noms proches avant/après,50350101565,https://pop.culture.gouv.fr/notice/joconde/50350101565,Vers une copie,anciennes attributions : BONACCORSI Piero ; MATURINO ; PENNI Giovanni Francesco ; Ecole de SANTI Raffaello ; SANTI Raffaello,PENNI Giovanni Francesco (d'après);anonyme,BONACCORSI Piero,,,Assaut d'une forteresse par des fantassins romains et groupe de cavaliers,musée du Louvre,Paris,à exclure,"Chaîne avec plusieurs anciens noms ; trop composite pour la galerie V1, à conserver comme cas complexe/stat."
piège : noms proches avant/après,000PE000383,https://pop.culture.gouv.fr/notice/joconde/000PE000383,Vers une attribution prudente,CHAMPAIGNE PHILIPPE DE (VILLOT II) ; CHAMPAIGNE PHILIPPE DE (CAT. SOMM.) ; CHAMPAIGNE PHILIPPE DE (C.P. P.),Champaigne Philippe de (1602-1674) (attribué à),CHAMPAIGNE PHILIPPE DE,,,Portrait d'homme,musée du Louvre,Paris,OK,"Même nom, mais passage vers attribution prudente ; cas lisible si présenté comme changement de statut."
piège : noms proches avant/après,50350110219,https://pop.culture.gouv.fr/notice/joconde/50350110219,Vers une attribution prudente,ancienne attribution : MEULEN Adam Frans van der,MEULEN Adam Frans van der (école),MEULEN Adam Frans van der,,,Cheval d'armes marchant vers la droite,musée du Louvre,Paris,OK,"Même nom, mais passage vers école ; cas lisible comme changement de statut."
piège : noms proches avant/après,50350103819,https://pop.culture.gouv.fr/notice/joconde/50350103819,Vers une copie,anciennes attributions : ANONYME ITALIEN XVIIe s ; TESTA Pietro,TESTA Pietro (d'après);anonyme,,,,Groupe d'anges entourant un homme à demi-couché,musée du Louvre,Paris,faux parsing,Ancienne chaîne anonyme + Testa ; ancien nom Testa non extrait alors que le passage vers d'après est exploitable.
piège : noms proches avant/après,000PE001745,https://pop.culture.gouv.fr/notice/joconde/000PE001745,Vers un autre nom,LE NAIN LOUIS (BRIERE),LE NAIN,LE NAIN LOUIS,,,L'ADORATION DES BERGERS,musée du Louvre,Paris,faux passage,Le Nain Louis → Le Nain : pas un autre nom clairement distinct ; trop imprécis pour 'vers un autre nom'.
piège : noms proches avant/après,50350100259,https://pop.culture.gouv.fr/notice/joconde/50350100259,Vers une attribution prudente,ancienne attribution : FETI Domenico,FETI Domenico (attribué à),FETI Domenico,,,Madeleine à genoux et au pied de la Croix,musée du Louvre,Paris,OK,"Même nom, mais passage vers 'attribué à' ; bon cas de changement de statut."
piège : noms proches avant/après,000PE001740,https://pop.culture.gouv.fr/notice/joconde/000PE001740,Vers un autre nom,LE NAIN (VILLOT III) ; LE NAIN LOUIS (BRIERE),LE NAIN,LE NAIN,,,UN MARECHAL DANS SA FORGE,musée du Louvre,Paris,faux passage,Le Nain / Le Nain Louis → Le Nain : pas de passage simple vers un autre nom.
piège : noms proches avant/après,60255,https://pop.culture.gouv.fr/notice/joconde/00000060255,Vers une copie,POURBUS FRANS II (ancienne attribution),"anonyme;POURBUS Frans II (?, d'après)",POURBUS FRANS II,,,Henri IV,musée national du château de Pau,Pau,OK,"Même nom, mais passage vers d'après avec réserve ; cas lisible comme changement de statut/copie."
piège : ancienne attribution datée,2110002447,https://pop.culture.gouv.fr/notice/joconde/02110002447,Vers l'anonyme,"Ancienne attribution : DOMENICO Pellegrini, attribué en 1859 ; ancienne attribution : école italienne, fin 16e siècle, attribué en 1871, 1876, 1884 ; ancienne attribution : TIBALDI Domenico",anonyme,,,1859,Deux figures nues,musée des beaux-arts,Rennes,à exclure,"Plusieurs anciennes attributions datées successives ; trop composite pour une carte simple, à conserver comme chaîne/stat."
piège : ancienne attribution datée,2110005094,https://pop.culture.gouv.fr/notice/joconde/02110005094,Vers un autre nom,"Ancienne attribution : DYCK Antoon van (Anvers, 1599 ; Blackfriar, 1641), Cat. 1860-1884",SCHUT Cornelis I,,,1860,Les Martyrs d'Agaune ; Supplice de guerriers (titre ancien) ; Martyre de deux Saints (titre ancien),musée des beaux-arts,Rennes,OK,Ancienne attribution datée 1860-1884 ; passage vers un autre nom lisible.
piège : ancienne attribution datée,2110002442,https://pop.culture.gouv.fr/notice/joconde/02110002442,Vers une copie,"Ancienne attribution : anonyme (Italie, FLORENCE), 16e siècle, attribué en 1871, 1876, 1884 ; Ancienne attribution : VASARI Giorgio",anonyme;BUONACCORSI Pietro (d'après),,,1871,Erato et Thalie,musée des beaux-arts,Rennes,à exclure,Ancienne chaîne anonyme + Vasari avec dates multiples ; trop composite pour la galerie V1.
piège : ancienne attribution datée,69098,https://pop.culture.gouv.fr/notice/joconde/00000069098,Vers une copie,CARRACHE ANNIBAL (CAT. 1938),anonyme;CARRACCI Annibale (d'après),CARRACHE ANNIBAL,,1938,Le Christ soutenu par des anges,musée national Magnin,Dijon,OK,Ancienne attribution datée CAT. 1938 ; passage vers d'après/copie lisible.
piège : ancienne attribution datée,000PE004971,https://pop.culture.gouv.fr/notice/joconde/000PE004971,Vers un autre nom,BACLER D'ALBE LOUIS (attribué en 1832),BOGUET Nicolas Didier le Fils,BACLER D'ALBE LOUIS,,1832,COMBAT DANS LES GORGES DU TYROL. MARS 1797,musée national des châteaux de Versailles et de Trianon,Versailles,OK,Ancienne attribution datée 1832 ; passage vers un autre nom lisible.
piège : ancienne attribution datée,000PE013042,https://pop.culture.gouv.fr/notice/joconde/000PE013042,Vers une attribution prudente,TOURNIERES (attribué en 1832),Grimou Alexis (1678-1733) (attribué à),TOURNIERES,,1832,INCONNU REVETU D'UNE CUIRASSE ET D'UN CASQUE,musée national des châteaux de Versailles et de Trianon,Versailles,OK,Ancienne attribution datée 1832 ; passage vers attribution prudente lisible.
piège : ancienne attribution datée,2110002142,https://pop.culture.gouv.fr/notice/joconde/02110002142,Vers un autre nom,"ancienne attribution : GIOTTO, attribué en 1859 ; anonyme (Italie)",GARBO Raffaellino Del,,,1859,L'incrédulité de Saint Thomas,musée des beaux-arts,Rennes,faux parsing,Ancien nom Giotto non extrait ; passage général plausible mais parsing incomplet.
piège : ancienne attribution datée,69028,https://pop.culture.gouv.fr/notice/joconde/00000069028,Vers l'anonyme,"CARAVAGGIO, ECOLE DE (CAT. 1938)",anonyme,"CARAVAGGIO, ECOLE DE",,1938,Judith et la servante avec la tête d'Holopherne,musée national Magnin,Dijon,OK,Ancienne attribution datée CAT. 1938 vers anonyme ; cas lisible avec verbatim 'école de Caravage'.
piège : ancien label déjà « d'après » (exclu du comptage noms),6770000157,https://pop.culture.gouv.fr/notice/joconde/06770000157,Vers une attribution prudente,"ancienne attribution : MAINARDI Sebastiano (San Gimignano, 1460 ; San Gimignano, 1513) ; BUONACCORSI Pietro (1500 ; Rome, 1546), PERINO DEL VAGA, Dit (peintre, ancienne attribution) ; GHIRLANDAIO Domenico (GHIRLANDAIO : Florence, 1449 ; Florence, 1494, d'après)",GHIRLANDAIO Domenico (atelier),,,,Vierge à l'Enfant avec saint Jean Baptiste et trois anges,musée Thomas-Henry,Cherbourg-en-Cotentin,à exclure,"Chaîne très composite avec ancien d'après ; trop complexe pour la galerie V1, à conserver comme cas complexe/stat."
piège : ancien label déjà « d'après » (exclu du comptage noms),50350009529,https://pop.culture.gouv.fr/notice/joconde/50350009529,Vers un autre nom,"Copie d'après, BAGETTI Giuseppe Pietro",BAGETTI Giuseppe Pietro,"Copie d'après, BAGETTI Giuseppe Pietro",,,Vue générale du terrain de Rivoli prise du Mont Mascato le 14 janvier 1797 ; Vue générale du terrain de Rivoli prise du Mont Moscato où sont indiqués les derniers moments de la bataille et la défaite du corps de Lusignan le 14 janvier 1797 (autre titre),musée national des châteaux de Versailles et de Trianon,Versailles,faux passage,"Ancien état copie d'après Bagetti → Bagetti : ce n'est pas un passage vers un autre nom, plutôt disparition du statut copie."
piège : ancien label déjà « d'après » (exclu du comptage noms),M0121003074,https://pop.culture.gouv.fr/notice/joconde/M0121003074,Vers une attribution prudente,"Ecole de Guido Reni puis copie ; Giovan Francesco Gessi ; Elisabetta Sirani, Elisabetta",Reni Guido (1575-1642) (école),,,,La sainte Famille contemplant l'Enfant Jésus endormi,musée d'art Roger-Quillot,Clermont-Ferrand,à exclure,Ancienne chaîne école/copie + plusieurs noms ; trop composite pour la galerie V1.
piège : ancien label déjà « d'après » (exclu du comptage noms),50350008540,https://pop.culture.gouv.fr/notice/joconde/50350008540,Vers une copie,"Copie d'après, CALDARA Polidoro",ZUCCARO Taddeo (d'après);anonyme,"Copie d'après, CALDARA Polidoro",,,Un souverain asiatique parait accepter des vases qui lui sont offerts,musée du Louvre,Paris,à exclure,"Ancien état déjà copie d'après ; passage vers autre d'après/copie, à conserver hors galerie simple."
